id,document_id,session_id,chunk_index,text
60,2,d4be0b24-6e1b-4f09-a772-031293bc6536,0,RURFTjogRW5oYW5jZWQgRGlmZnVzaW9uIGZvciBIaWdoLXF1YWxpdHkgTGFyZ2UtbW90aW9uClZpZGVvIEZyYW1lIEludGVycG9sYXRpb24KWmloYW8gWmhhbmcxLDJIYW9yYW4gQ2hlbjEsMkhhb3l1IFpoYW8xLDJHdWFuc29uZyBMdTMKWWFud2VpIEZ1MSwySGFuZyBYdTNadXh1YW4gV3UxLDIsIAAKMVNoYW5naGFpIEtleSBMYWIgb2YgSW50ZWxsLiBJbmZvLiBQcm9jZXNzaW5nLCBTY2hvb2wgb2YgQ1MsIEZ1ZGFuIFVuaXZlcnNpdHkKMlNoYW5naGFpIENvbGxhYm9yYXRpdmUgSW5ub3ZhdGlvbiBDZW50ZXIgb2YgSW50ZWxsaWdlbnQgVmlzdWFsIENvbXB1dGluZwozTm9haOKAmXMgQXJrIExhYiwgSHVhd2VpCmh0dHBzOi8vZ2l0aHViLmNvbS9iYmxkQ1Zlci9FREVOCkFic3RyYWN0CkhhbmRsaW5nIGNvbXBsZXggb3Igbm9ubGluZWFyIG1vdGlvbiBwYXR0ZXJucyBoYXMgbG9uZwpwb3NlZCBjaGFsbGVuZ2VzIGZvciB2aWRlbyBmcmFtZSBpbnRlcnBvbGF0aW9uLiBBbHRob3VnaApyZWNlbnQgYWR2YW5jZXMgaW4gZGlmZnVzaW9uLWJhc2VkIG1ldGhvZHMgb2ZmZXIgaW1wcm92ZS0KbWVudHMgb3ZlciB0cmFkaXRpb25hbCBvcHRpY2FsIGZsb3ctYmFzZWQgYXBwcm9hY2hlcywgdGhleQpzdGlsbCBzdHJ1Z2dsZSB0byBnZW5lcmF0ZSBzaGFycCwgdGVtcG9yYWxseSBjb25zaXN0ZW50CmZyYW1lcyBpbiBzY2VuYXJpb3Mgd2l0aCBsYXJnZSBtb3Rpb24uIFRvIGFkZHJlc3MgdGhpcwpsaW1pdGF0aW9uLCB3ZSBpbnRyb2R1Y2UgRURFTiAsIGFuRW5oYW5jZWQgRGlmZnVzaW9uCmZvciBoaWdoLXF1YWxpdHkgbGFyZ2UtbW90aW9uIHZpZCBFbyBmcmFtZSBpIE50ZXJwb2xhdGlvbi4KT3VyIGFwcHJvYWNoIGZpcnN0IHV0aWxpemVzIGEgdHJhbnNmb3JtZXItYmFzZWQgdG9rZW5pemVyCnRvIHByb2R1Y2UgcmVmaW5lZCBsYXRlbnQgcmVwcmVzZW50YXRpb25zIG9mIHRoZSBpbnRlcm1lZGkt
61,2,d4be0b24-6e1b-4f09-a772-031293bc6536,1,"Our approach first utilizes a transformer-based tokenizer
to produce refined latent representations of the intermedi-
ate frames for diffusion models. We then enhance the diffu-
sion transformer with temporal attention across the process
and incorporate a start-end frame difference embedding to
guide the generation of dynamic motion. Extensive experi-
ments demonstrate that EDEN achieves state-of-the-art re-
sults across popular benchmarks, including nearly a 10%
LPIPS reduction on DAVIS and SNU-FILM, and an 8% im-
provement on DAIN-HD.
1. Introduction
Video frame interpolation is a classic computer vision task
that aims to synthesize intermediate frames between given
starting and ending frames. It has wide applications, in-
cluding animation production [52], generating slow motion
videos [7, 20, 25], novel view synthesis [4, 17, 69] and
videos compression [24, 62].
Most existing video frame interpolation methods [19, 28,
30, 31, 41, 49, 51, 65, 66] rely on estimating optical flow"
62,2,d4be0b24-6e1b-4f09-a772-031293bc6536,2,dmlkZW9zIGNvbXByZXNzaW9uIFsyNCwgNjJdLgpNb3N0IGV4aXN0aW5nIHZpZGVvIGZyYW1lIGludGVycG9sYXRpb24gbWV0aG9kcyBbMTksIDI4LAozMCwgMzEsIDQxLCA0OSwgNTEsIDY1LCA2Nl0gcmVseSBvbiBlc3RpbWF0aW5nIG9wdGljYWwgZmxvdwpiZXR3ZWVuIHRoZSBzdGFydGluZyBhbmQgZW5kaW5nIGZyYW1lcyB0byBzeW50aGVzaXplIHRoZQppbnRlcm1lZGlhdGUgZnJhbWVzLiBSZWNlbnRseSwgYWR2YW5jZXMgaW4gZGlmZnVzaW9uIG1vZC0KZWxzIGhhdmUgaW5zcGlyZWQgcmVzZWFyY2hlcnMgdG8gZXhwbG9yZSB0aGVpciBhcHBsaWNhdGlvbgoAOiBDb3JyZXNwb25kaW5nIGF1dGhvciAoenh3dUBmdWRhbi5lZHUuY24pLgpMRE1WRkkgTEJCRE0gT3VycwpMRE1WRklbMTRdIExCQkRNWzM2XSBPdXJzCkZpZ3VyZSAxLiBDb21wYXJpc29ucyBiZXR3ZWVuIGV4aXN0aW5nIGRpZmZ1c2lvbi1iYXNlZCBtZXRob2RzCmFuZCBvdXIgcHJvcG9zZWQgRURFTiBvbiBsYXJnZS1tb3Rpb24gc2NlbmFyaW9zLgppbiB2aWRlbyBmcmFtZSBpbnRlcnBvbGF0aW9uIFsxNCwgMjEsIDIzLCAzNiwgNTldLiBUaGVzZQpkaWZmdXNpb24tYmFzZWQgYXBwcm9hY2hlcyB0eXBpY2FsbHkgaW52b2x2ZSBjb21wcmVzc2luZwp0aGUgaW50ZXJtZWRpYXRlIGZyYW1lcyBpbnRvIGxhdGVudCByZXByZXNlbnRhdGlvbnMgdXNpbmcgYW4KZW5jb2Rlci4gRGlmZnVzaW9uIHByb2Nlc3NlcyBhcmUgdGhlbiBhcHBsaWVkIHdpdGhpbiB0aGUKbGF0ZW50IHNwYWNlIHRvIGludGVncmF0ZSBpbmZvcm1hdGlvbiBmcm9tIGJvdGggdGhlIHN0YXJ0aW5nCmFuZCBlbmRpbmcgZnJhbWVzIHRvIHByZWRpY3QgdGhlIGxhdGVudCByZXByZXNlbnRhdGlvbiBvZiB0aGUKaW50ZXJtZWRpYXRlIGZyYW1lLiBGaW5hbGx5LCBhIGRlY29kZXIgcmVjb25zdHJ1Y3RzIHRoZSBsYS0KdGVudCByZXByZXNlbnRhdGlvbiBpbnRvIHRoZSBkZXNpcmVkIGludGVybWVkaWF0ZSBmcmFtZS4gQnk=
63,2,d4be0b24-6e1b-4f09-a772-031293bc6536,3,"intermediate frame. Finally, a decoder reconstructs the la-
tent representation into the desired intermediate frame. By
directly generating intermediate frames from latent repre-
sentations, these models eliminate the need for explicit op-
tical flow-based warping, offering a promising alternative to
traditional methods.
However, despite their advantages, diffusion-based
methods still often fail at accurately capturing large, com-
plex motions. In scenes involving rapid, nonlinear move-
ments, these approaches often face limitations in generat-
ing sharp, realistic frames, resulting in motion blur and
temporal inconsistencies. For example, as shown in Fig-
ure 1, current diffusion based methods struggle with han-
dling large motions. Furthermore, our analysis of current
diffusion based methods reveals that the effect of diffusion
on the quality of generated intermediate frames is surpris-arXiv:2503.15831v2  [cs.CV]  10 May 2025
LDMVFI LBBDMRandom noise Denoised latent"
64,2,d4be0b24-6e1b-4f09-a772-031293bc6536,4,"on the quality of generated intermediate frames is surpris-arXiv:2503.15831v2  [cs.CV]  10 May 2025
LDMVFI LBBDMRandom noise Denoised latent
LDMVFI[14] LBBDM[36]
Figure 2. The results of existing diffusion-based VFI methods gen-
erated from random noise and denoised latent. As is shown, the
quality of the generated frame shows no significant difference.
ingly minimal. To illustrate, we present in Figure 2 a com-
parison between intermediate frames generated by directly
decoding random noise versus decoding latent predicted by
diffusion. As shown, the perceptual difference between
the two is marginal, indicating a possible reason why these
methods still struggle with complex motions.
To address this issue, in this paper, we aim to amplify
the impact of diffusion in the generation process. We seek
to accomplish this by focusing on the three primary areas
where modifications are typically feasible: the input repre-
sentation, model architecture, and training paradigm. By"
65,2,d4be0b24-6e1b-4f09-a772-031293bc6536,5,"where modifications are typically feasible: the input repre-
sentation, model architecture, and training paradigm. By
improving each of these essential components, we aim to
deliver a more effective and resilient diffusion process.
Specifically, to enhance the quality of the latent repre-
sentations input to the diffusion model, instead of using the
usual 2D-convolution-based V AE structure, we first design
an efficient transformer-based tokenizer that compresses the
intermediate frames into a compact set of latent tokens.
This is evidenced by a recent work [64] that shows 1D se-
quences as latent representations learns more high-level and
semantic-rich image information than prior 2D grid rep-
resentations, especially at a compact latent space. Then,
to better integrate the context information from the start-
ing and ending frames, we incorporate temporal modules
throughout the encoding-decoding process. Additionally,
we propose a novel multi-scale feature fusion module that"
66,2,d4be0b24-6e1b-4f09-a772-031293bc6536,6,"throughout the encoding-decoding process. Additionally,
we propose a novel multi-scale feature fusion module that
iteratively integrates large-scale tokens with small-scale to-
kens to capture fine-grained details across varying motion
scales. Finally, given that real-world videos exhibit diverse
resolutions and motion magnitudes, we further introduce a
multi-resolution, multi-frame interval fine-tuning technique
to handle these variations better.
To provide a better model architecture, we adopt a
DiT-based diffusion model instead of the traditional U-
Net approach, leveraging DiT’s enhanced capability to han-
dle temporal dependencies, as well as its inherent support
for token-based inputs and greater scalability compared to
U-Net. Furthermore, to improve the training paradigm,we propose a dual-stream context integration mechanism.
Specifically, similar to the design of our tokenizer, we inte-
grate temporal modules throughout the diffusion process to"
67,2,d4be0b24-6e1b-4f09-a772-031293bc6536,7,"Specifically, similar to the design of our tokenizer, we inte-
grate temporal modules throughout the diffusion process to
integrate the context information from the starting and end-
ing frames, allowing the model to capture motion dynamics
more effectively. Additionally, given that the motion mag-
nitude between the starting and ending frames plays a crit-
ical role in the quality of generated frames, we introduce
a start-end frame difference embedding as a conditioning
input to the diffusion model. This embedding explicitly
guides the generation process by embedding motion cues
into the model.
Extensive experiments on popular benchmarks show the
success of our approach. Specifically, our method achieves
nearly a 10% reduction in LPIPS (lower is better) compared
to previous state-of-the-art diffusion models on DA VIS. On
the more dynamic DAIN-HD benchmark, our method re-
duces LPIPS by 8% compared to prior state-of-the-art meth-"
68,2,d4be0b24-6e1b-4f09-a772-031293bc6536,8,"the more dynamic DAIN-HD benchmark, our method re-
duces LPIPS by 8% compared to prior state-of-the-art meth-
ods specifically designed for large motion, as well as recent
state-of-the-art methods that have performed well across
multiple benchmarks. In summary, our main contributions
include:
• We introduce an enhanced diffusion-based method for
high-quality video frame interpolation, which we dub
EDEN, addressing the challenging problem of video
frame interpolation with large motion.
• We design an efficient tokenizer for video frame inter-
polation, which enhances the quality of latent represen-
tations and validates its effectiveness through a series of
ablation experiments.
• We propose a dual-stream context integration mechanism
to incorporate context information from the starting and
ending frames into the diffusion model, effectively en-
hancing the diffusion process.
• EDEN achieves better results compared to prior state-of-"
69,2,d4be0b24-6e1b-4f09-a772-031293bc6536,9,"ending frames into the diffusion model, effectively en-
hancing the diffusion process.
• EDEN achieves better results compared to prior state-of-
the-art methods on large motion video frame interpolation
benchmarks across generative modeling metrics.
2. Related Work
2.1. Video Frame Interpolation
Most recent video frame interpolation methods focus on
modeling the intermediate optical flow, then using forward
warping [40] or backward warping [13, 19, 28, 30, 34] to
synthesize the target frame. For example, SGM-VFI [31]
adopts a sparse global matching to refine the estimated flow.
VFIMamba [66] utilizes a global receptive field to capture
motion via state space models.
Recent works have started to utilize diffusion models
to handle the VFI task. For example, LDMVFI [14] em-
ploys a latent diffusion model to generate the intermediate
frame conditioned on given frames. LBBDM [36] utilizes
a consecutive brownian bridge diffusion model to synthe-
Recon(a) Intermediate Frame Reconstruction"
